GISJOIN,YEAR,STUSAB,GEOID,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,COUSUBCC,SUBMCDA,CONCITA,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,MEMI,CSAA,METDIVA,NECTAA,NMEMI,CNECTAA,NECTADIVA,CBSAPCI,NECTAPCI,UAA,URA,CD116A,SLDU18A,SLDL18A,VTD,VTDI,ZCTAA,SDELMA,SDSECA,SDUNIA,PUMA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,INTPTLAT,INTPTLON,LSADC,UGA,U7J001,U7J002,U7J003,U7J004,U7J005,U7J006,U7J007,U7J008
"G130","2020","GA","0400000US13","13","3","5","Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"149486234922","4418749570","Georgia","Georgia","A","+32.6295789","-083.4235109","00",,10711908,5555483,3320513,50618,479028,7299,555059,743908
"G150","2020","HI","0400000US15","15","4","9","Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16634147166","11777652106","Hawaii","Hawaii","A","+19.8281671","-155.4950421","00",,1455271,333261,23417,4370,541902,157445,26747,368129
"G160","2020","ID","0400000US16","16","4","8","Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"214049923496","2391577745","Idaho","Idaho","A","+44.3484222","-114.5588538","00",,1839106,1510360,15726,25621,26836,3726,103632,153205
"G170","2020","IL","0400000US17","17","2","3","Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"143778461053","6216594318","Illinois","Illinois","A","+40.1028754","-089.1526108","00",,12812508,7868227,1808271,96498,754878,4501,1135149,1144984
"G180","2020","IN","0400000US18","18","2","3","Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92788998225","1541613641","Indiana","Indiana","A","+39.9013136","-086.2919129","00",,6785528,5241795,648513,26086,167959,3137,261312,436726
"G190","2020","IA","0400000US19","19","2","4","Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"144659688848","1085996889","Iowa","Iowa","A","+42.0700243","-093.4933473","00",,3190369,2694521,131972,14486,75629,5758,88720,179283
"G200","2020","KS","0400000US20","20","2","4","Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"211753777874","1345707497","Kansas","Kansas","A","+38.4985464","-098.3834298","00",,2937880,2222462,168809,30995,86273,3412,145422,280507
"G210","2020","KY","0400000US21","21","3","6","Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102282796080","2368025703","Kentucky","Kentucky","A","+37.5336844","-085.2929801","00",,4505836,3711254,362417,12801,74426,3681,96417,244840
"G220","2020","LA","0400000US22","22","3","7","Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111913975425","23737664982","Louisiana","Louisiana","A","+30.8634368","-091.7987173","00",,4657757,2657652,1464023,31657,86438,1911,142699,273377
"G230","2020","ME","0400000US23","23","1","1","Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79888428972","11744937116","Maine","Maine","A","+45.4092843","-068.6666160","00",,1362359,1237041,25752,7885,16798,443,9730,64710
